Kommune;Adresse;Bygningsnavn;Fredningsaar;Opfoerelsesaar;beskrivelse
Helsingør;Stengade 84 og Sophie Brahes Gade 3 A;Dodts Gård;1919;1783;Forhuse mod Stengade og Sophie Brahes Gade samt trappehus mod syd (1783). Fredet 1919.*
Helsingør;Stjernegade 31, hj;af J.L;1945;1800;Tvedes Vej. Stjernegade 31 og J.L. Tvedes Vej 1. Bygningen på hj. af J.L. Tvedes Vej og det dermed sammenbyggede hus ud mod Stjernegade (ca. 1800). Fredet 1945.*
Helsingør;Strandgade 1;Jens Linds Hus;1945;1700;Forhuset (1700-tallet). Fredet 1945.*
Helsingør;Strandgade 27;Ankeret;1950;1577;Forhuset (1577). Fredet 1950.*
Helsingør;Strandgade 29;Strandgade 29;1950;1761;Forhuset og den dette nærmest værende del af sidehuset (1761). Fredet 1950. *
Helsingør;Strandgade 31;Strandgade 31;1950;1700;Forhus og dertil stødende sidehus (formentlig 1700-tallet). Fredet 1950.*
Helsingør;Strandgade 43;Rosen;1964;1600;Forhuset (1600-tallet og senere). Fredet 1964.*
Helsingør;Strandgade 45;Strandgade 45;1932;1800;Det toetages hjørnehus mod Strandgade og Grollowstræde (ca. 1800). Fredet 1932.*
Helsingør;Strandgade 52 og Jernbanevej 10 B;Hans Meinertsens Gård;1919;1781;Forhuset med de to sidehuse og baghus (1781). Fredet 1919.*
Helsingør;Strandgade 53;Strandgade 53;1932;1637;Forhusene mod Strandgade og den dermed sammenbyggede sidefløj i gården (1637). Fredet 1932.*
Helsingør;Strandgade 55 A-B;Jacob Willumsens Gård;1918;1592;Forhus med sidehus og baghus (1592). Fredet 1918.*
Helsingør;Strandgade 70;Rådmand Davids Hus;1919;1600;Forhuse af bindingsværk (1600-tallet med udbygning på bagsiden ca. 1867) og grundmur (ca. 1780). Fredet 1919.*
Helsingør;Strandgade 71;Strandgade 71;1983;1846;Forhus og sidehus (1846-47) samt baghus (før 1771, ombygget ca. 1850 og 1973). Fredet 1983.*
Helsingør;Strandgade 75;Strandgade 75;1918;1700;Bebyggelsen mod Strandgade og Brostræde samt sidehuse mod vest og nord (1700-tallet). Fredet 1918.*
Helsingør;Strandgade 77;Det gamle Apotek og Johan Kruses Gård;1918;1500;"Bebyggelsen mod Strandgade, Brostræde og Færgestræde (den østlige del af forhuset ca. 1500; sidelænge mod Færgestræde fra ca. 1500-tallets slutning; hjørnebygning mod Brostræde opført 1642).Fredet 1918.*"
Helsingør;Strandgade 81-83;Kircks Gård;1919;1736;Forhus og mur med port (1736) mod Strandgade, sidehus (1642) og baghus med tværbygning mod Færgestræde. Fredet 1919.*
Helsingør;Strandgade 85-87;Den Fenwickske Gård;1918;1600;Forhus (1600-tallet, ombygget og forhøjet, antagelig 1759-60) med sidefløje (østre ca. 1500, vestre ca. 1600). Fredet 1918.*
Helsingør;Strandgade 91 A-C;Rasmussens Gård;1918;1580;"Forhus (ca. 1580, forhøjet 1637 og i slutningen af 1700-tallet) med sidebygning og alt fast inventar i stueetagens butik med baglokale samt i ""Skipperstuen"" Fredet 1918.*"
Helsingør;Strandgade 93 A-D;Det Classenske Palæ;1918;1791;Forhus med sidehus og baghus (1791-93 af C.F. Harsdorff og A.C. Wilcken). Fredet 1918.*
Helsingør;Strandgade 95 A og Sophie Brahesgade 1 C;Stephen Hansens Palæ;1919;1759;Forhus (1759-61 af Philip de Lange) og baghus samt mur mod Sophie Brahesgade (ca. 1840). Fredet 1919.*
Helsingør;Sveasvej 21;Sveasvej 21 , villaer;2005;1952;De to sammenbyggede villaer med tilhørende terrasser og havemure (1952 og 1959, begge af Jørn Utzon) samt den forbindende glasgang og overdækningen mellem villa og garage og arealet derunder. Fredet 2005.
Helsingør;Svingelport 7 A-B;Spæths Gård;1919;1761;Den treetages bygning med hejsekvist (1761-70). Fredet 1919.
Helsingør;Svingelport 8 A;I.C;1945;1791;Tegners Gård. Den toetages hovedbygning med frontispice, beliggende langs Svingelport, med den i sydwest i vinkel sammenbyggede enetages sidebygning (1791) samt den i nordøst, ligeledes i vinkel sammenbyggede enetages sidebygning med portåbning to Svingelport (1800). Fredet 1945.
