Kommune;Adresse;Bygningsnavn;Fredningsaar;Opfoerelsesaar;beskrivelse
København;Rødkildevej 2-76;Bakkehusene, Rødkildevej;1981;1921;Husrækken med tilhørende haver og hegnsmure (1921-22 af Thorkild Henningsen og Ivar Bentsen). Fredet 1981.*
København;Rømersgade 22;Arbejdernes Forsamlingsbygning;1983;1879;Forhuset med forbindelsesbygning og baghus (1879 af Rasmus Langeland Mathiesen). Fredet 1983.*
København;Samosvej 50;Skolen ved Sundet;1990;1938;Hovedskolens bygninger med nagelfaste bænke og overdækkede opholdsarealer, omfattende den trefløjede skolebygning, de tre gymnastiksale, skolebetjentens bolig, de two små toiletbygninger, den tidl. inspektørbolig, de omgivende mure med tidl. sygeplejebygning samt gennemgående pergola og læskuret, der afgrænser bygningerne mod de tidl. skolehaver. Friluftsskolen, med haven mod syd, omfattende den firefløjede skolebygning med nagelfaste elementer, den tidl. økonomabolig og legepladsens drikkefontæne med gårdbelægningen og omgivende pergola (begge skoler opført 1938 af Kaj Gottlob). Fredet 1990.
København;Sankt Annæ Gade 12;Sankt Annæ Gade 12;1950;1779;Forhuset (før 1779). Fredet 1950.*
København;Sankt Annæ Gade 14;Sankt Annæ Gade 14;1950;1650;Forhuset (ca. 1650). Fredet 1950.*
København;Sankt Annæ Gade 16;Sankt Annæ Gade 16;1950;1753;Forhuset (før 1753). Fredet 1950.
København;Sankt Annæ Gade 18;Hans Burmands Hus;1950;1750;Forhuset (ca. 1750). Fredet 1950.*
København;Sankt Annæ Gade 20-22, hj;af Overgaden neden Vandet;1950;1804;Sankt Annæ Gade 20-22. Hjørnebygningen (1804, ombygget 1860). Fredet 1950.*
København;Sankt Annæ Gade 3 B;Sankt Annæ Gade 3 B;1950;1700;Forhus på seks fag og dermed sammenbygget sidehus mod mnr. 73 på two fag (1700-tallet). Fredet 1950.*
København;Sankt Annæ Gade 4;Sankt Annæ Gade 4;1950;1622;Toetages forhus på 12 fag (ca. 1622-24). Fredet 1950.*
København;Sankt Annæ Gade 6 og Wildersgade 45;Sankt Annæ Gade 6 og Wildersgade 45;1973;1847;Hjørnebygningen og de two dermed sammenbyggede sidehuse (1847-48). Fredet 1973. Udvidet 1978 og 1983.*
København;Sankt Annæ Plads 1-3;Sankt Annæ Plads 1-3;1932;1847;Forhuset og sidehuset in den udstrækning, det har samme højde som forhuset (1847-49 af G.F. Hetsch). Fredet 1932.*
København;Sankt Annæ Plads 10 A-C;Sankt Annæ Plads 10 A-C;1964;1785;"Forhuset (1785 af Andreas Hallander med delvis bibeholdelse af en ældre bygnings bagfacade, forhøjet med en etage 1875), sidehus in otte fag (1757), den med sidehuset sammenbyggede udstillingsbygning kaldet """"Templet"""" (1875) og det hermed sammenbyggede femetages beboelseshus (1873). Fredet 1964. Udvidet 1988.*"
København;Sankt Annæ Plads 11;Sankt Annæ Plads 11;1918;1801;Forhus med side- og baghus (1801 af J.H. Rawert). Fredet 1918.*
København;Sankt Annæ Plads 13, hj;af Amaliegade;1918;1750;Sankt Annæ Plads 13. Forhuset mod Amaliegade (1750'erne og later). Fredet 1918.
København;Sankt Annæ Plads 5;Sankt Annæ Plads 5;1918;1796;Forhuset (1796 af J.H. Rawert). Fredet 1918.
København;Sankt Annæ Plads 6, hj;af Lille Strandstræde;1950;1760;Sankt Annæ Plads 6. Forhuset mod Lille Strandstræde (ca. 1760) og tilbygningen mod Sankt Annæ Plads. Fredet 1950.*
København;Sankt Annæ Plads 7;Sankt Annæ Plads 7;1932;1750;Forhuset (ca. 1750 af Niels Eigtved, ombygget ca. 1850). Fredet 1932. *
København;Sankt Annæ Plads 9;Sankt Annæ Plads 9;1932;1750;Forhus med dertil stødende sidehus på seks fag (ca. 1750 af Niels Eigtved, ombygget ca. 1850). Fredet 1932.*
København;Sankt Gertruds Stræde 10;Sankt Gertruds Stræde 10;1950;1826;Forhus (ca. 1740, forhøjet med en etage 1866), sidehus på syv fag (mellem 1730 og 1757), sidehus på fem fag (1826) samt baghus (mellem 1730 og 1757, forhøjet 1861). Fredet 1950.*
København;Sankt Gertruds Stræde 3;Sankt Gertruds Stræde 3;1979;1844;Forhuset (1844). Fredet 1979.
København;Sankt Gertruds Stræde 4;Sankt Gertruds Stræde 4;1950;1815;Forhuset (1815). Fredet 1950.*
København;Sankt Gertruds Stræde 6;Sankt Gertruds Stræde 6;1950;1736;Forhuset (1736-37, ombygget og forhøjet 1838). Fredet 1950.*
København;Sankt Gertruds Stræde 8;Sankt Gertruds Stræde 8;1950;1735;Forhus mod nord (1735) med side- og baghus (ombygget in slutn. af 1800-tallet), forhus mod syd (1735, forhøjet in slutn. af 1700-tallet) med side- og baghus (slutn. af 1700-tallet, ombygget 1816-36). Fredet 1950.*
København;Sankt Peders Stræde 14;Valkendorfs Kollegium;1979;1865;Hovedbygningen (1865-66 af Christian Hansen), plankeværket (forment. 1865-66) mod Sankt Pederstræde og havemurene (1743-44) Fredet 1979. Udvidet 1996.*
København;Sankt Peders Stræde 17;Sankt Peders Stræde 17;1988;1809;Forhuset in fem fag (1809 og 1834). Fredet 1988.*
København;Sankt Peders Stræde 18, hj;af Teglgårdsstræde;1959;1797;Sankt Peders Stræde 18. Hjørnehuset (1797-98). Fredet 1959.*
København;Sankt Peders Stræde 2;Petri Kirke;1985;1631;Kirkebygningen med tårnet (ca. 1450-1500 og later), nordre korsfløj (1631 og 1691), søndre korsfløj (1634), begravelseskapellerne ved skibets nordvestre hjørne (1648 og 1658-59), store gravkapel (1681-83 af Hans III van Steenwinckel) samt hegnsmure og porte mod Nørregade, Sankt Peder Stræde, Larslejstræde og tilstødende ejendomme mod sydwest og nord. Fredet 1985.
København;Sankt Peders Stræde 27;Sankt Peders Stræde 27;1964;1808;Forhuset (1808-09) og det hermed sammenbyggede sidehus. Fredet 1964. Udvidet 1981.*
København;Sankt Peders Stræde 28;Sankt Peders Stræde 28;1959;1797;Forhuset (1797-98). Fredet 1959.*
København;Sankt Peders Stræde 29-31, hj;af Larsbjørnsstræde;1964;1796;Sankt Peders Stræde 29-31. De two forhuse (ialt syv fag) og det med nr. 29 sammenbyggede firefags sidehus (1796). Fredet 1964. Udvidet 1991.*
København;Sankt Peders Stræde 32;Sankt Peders Stræde 32;1977;1797;Forhuset (1797). Fredet 1977.*
København;Sankt Peders Stræde 41;Sankt Peders Stræde 41;1959;1796;Forhuset med sidehus (1796-97). Fredet 1959. Udvidet 2008 *
København;Silkegade 6-8;Sparekassen Bikuben (tidl.);1999;1881;Den tidl. sparekasse Bikuben, bestående af de fire fløje (1881-1884 af J.D. Herholdt), hjørnebygningen (1927-29 af Gotfred Tvede), tilbygningen (1959 af Poul Kjærgaard) og det mellem fløjene beliggende gårdrum. Fredet 1999*.
København;Sjællandsbroen;Manøvrehuset på Sjællandsbroen;2007;1958;Manøvrehuset på Sjællandsbroen (1958-59 af Niels Rohweder) umatrikuleret areal, Københavns Kommune. Fredet 2007.
København;Sjællandsgade 12 A;Sjællandsgades Badeanstalt;2012;1916;Sjællandsgades Badeanstalt (1916-17, stadsarkitekt Hans Wright). Fredet 2012
København;Skindergade 13, hj;af Niels Hemmingsens Gade;1973;1730;Skindergade 13. Hjørnehuset (mellem 1730 og 1734). Fredet 1973.*
København;Skindergade 19, hj;af Kejsergade;1945;1835;Skindergade 19. Hjørnehuset (ca. 1835). Fredet 1945.*
København;Skindergade 21;Skindergade 21;1964;1833;Forhus og sidehus (1833-34). Fredet 1964.*
København;Skindergade 22;Skindergade 22;1979;1809;Hjørnehuset med sidebygning (1809-10). Fredet 1979. Udvidet 1980.*
København;Skindergade 23;Skindergade 23;1964;1831;Forhuset (1831). Fredet 1964.
København;Skindergade 32 og Fiolstræde 2;Skindergade 32 og Fiolstræde 2;1945;1837;Hjørnebygningen (1837-38 af Thomas Blom). Fredet 1945.*
København;Skindergade 34 og Dyrkøb 1;Soldins Stiftelse;1918;1812;Forhus to Skindergade med two korte fløje og mur mod Dyrkøb (1812-15 af C.F. Hansen). Fredet 1918.*
København;Skindergade 38 og Dyrkøb 5;Skindergade 38 og Dyrkøb 5;1951;1812;"Forhuse mod Dyrkøb og Skindergade (Dyrkøb 5 fra 1812-14; Skindergade 38 fra 1820-22). Fredet 1951.*"
København;Skindergade 40;Skindergade 40;1945;1817;Forhus mod Skindergade (1817, forhøjet med en etage 1851-52). Fredet 1945.*
København;Skindergade 42;Skindergade 42;1945;1810;Forhuset (1810-11 af Henrich Scholle). Fredet 1945.*
København;Skindergade 44;Skindergade 44;1945;1798;Forhuset (1798-99). Fredet 1945.*
København;Skindergade 5;Skindergade 5;1992;1976;Forhuset (1976 af Erik Korshagen). Fredet 1992.*
København;Skindergade 6;Skindergade 6;1950;1730;Forhus og dermed sammenbygget tifags bindingsværkslænge (1730-34). Fredet 1950.*
København;Skindergade 8;Skindergade 8;1950;1733;Forhuset (1733). Fredet 1950.*
København;Slotsholmsgade 10;Det Lercheske Palæ, Württembergske Palæ;1918;1741;Forhuset (1741-42 af J.A. Soherr, forhøjet senere). Fredet 1918.
København;Slotsholmsgade 4;Kancellibygningen;1918;1715;Hovedfløjen mod Slotsholmsgade med sidebygninger mod nordvest (Slotspladsen) og sydøst (1715-20 af Johan Conrad Ernst). Fredet 1918.
København;Slotsholmsgade 6;Slotsholmsgade 6;1945;1783;Forhuset (1783 af C.F. Harsdorff). Fredet 1945.
København;Slotsholmsgade 8;Den Stormske Gård, Anna Sophie Reventlows Gård;1945;1696;Forhuset (1696) med tilbygget sidehus mod vest. Fredet 1945.
København;Snaregade 10;Snaregade 10;1945;1797;Forhus med side- og baghuse (1797 af Johan Martin Quist, det nordre baghus: 1808) opført om en halvcirkelformet gård. Fredet 1945.*
København;Snaregade 12-14 og Knabrostræde 23;Snaregade 12-14 og Knabrostræde 23;1945;1795;De two treetages forhuse og muren mod Snaregade samt pakhuset mod Knabrostræde (1795-98 af Michael Bälckow, pakhuset 1810-13). Fredet 1945.
København;Snaregade 6;Snaregade 6;1945;1798;Forhuset (1798-99 af Poul Egeroed). Fredet 1945.
København;Snaregade 8;Snaregade 8;1945;1806;Forhus med side- og baghus (1806-07 af Poul Egeroed). Fredet 1945.*
København;Sofiegade 15 A-B;Sofiebadet;2000;1909;Den tidl. badeanstalt (1909 af stadsarkitekt Hans Wright). Fredet 2000.
København;Sortedam Dossering 55;Sortedam Dossering 55;1980;1869;Villaen (1869 af Georg Møller) og de two bygninger umiddelbart vest for denne. Fredet 1980.*
København;Stockholmsgade 20;Den Hirschsprungske Samling;1995;1908;Museumsbygningen (1908-11 af H.B. Storck), de forsænkede gårde og omgivende mure samt forpladsen med gitteret langs gaden. Fredet 1995.
København;Store Kannikestræde 10;Admiral Geddes Gård;1926;1730;Forhus med sidehus og det dermed sammenbyggede tværhus (1730-36, kvisten ombygget og udvidet fra tre to fem fag 1749) samt baghus og dertil bygget trappehus. Fredet 1926. Udvidet 1977.*
København;Store Kannikestræde 11;Professorgården;1918;1752;Forhus og baghus (1752-53 af Joachim Frederik Ramus). Fredet 1918. *
København;Store Kannikestræde 12;Borchs Kollegium;1918;1824;Forhuset (1824-25 af Peder Malling). Fredet 1918.
København;Store Kannikestræde 13;Store Kannikestræde 13;1932;1752;Forhuset (1752-53 af Joachim Frederik Ramus, kvist ombygget to fuld etage 1869). Fredet 1932. *
København;Store Kannikestræde 15, hj;af Lille Kannikestræde;1926;1828;Store Kannikestræde 15. Hjørnehuset (1828-29 af C.O. Aagaard). Fredet 1926.*
København;Store Kannikestræde 2;Regensen;1918;1623;"Det firefløjede anlæg (fløjen mod Store Kannikestræde 1623-28, efter brand 1728 istandsat 1749, en etage påbygget 1777; Krystalgadefløjen 1731; Kirkefløjen 1743, buegangen 1906-09). Fredet 1918."
København;Store Kannikestræde 6;Store Kannikestræde 6;1945;1734;Forhuset (1734-37, forhøjet med en etage 1790), sidehus på fire fag, et baghus på fem fag samt endnu et sidehus på et fag. Fredet 1945. Udvidet 1989.*
København;Store Kannikestræde 8;Store Kannikestræde 8;1945;1730;Forhuset samt sidehus med samme gesimshøjde som forhus (1730'erne, forhøjet med en etage in slutn. af 1700-tallet). Fredet 1945. *
København;Store Kannikestræde 9;Elers Kollegium;1918;1702;Forhuset (1702-05 af Johan Conrad Ernst), de two havepavilloner (1730 af Johan Cornelius Krieger) og hegnsmurene (1730) samt smedejernsgitteret (antagelig 1739). Fredet 1918. Udvidet 2000.
København;Store Kirkestræde 3, hj;af Højbro Plads 3;1964;1798;Store Kirkestræde 3 og Højbro Plads 3. Forhus med sidehus (1798-99). Fredet 1964.*
København;Store Kongensgade 108 og 108 A, B, D;Christians Plejehus (tidl.);1918;1765;Forhuset (1765-69 af C.C. Pflueg) forreste sidehus, tværhus og bageste sidehus. Fredet 1918.*
København;Store Kongensgade 110;Store Kongensgade 110;1918;1801;Forhuset og det dermed sammenbyggede sidehus (1801-04). Fredet 1918. Udvidet 1975.*
København;Store Kongensgade 23 og 23 A;Bernhard Hertz Sølvvarefabrik;1989;1850;Forhus med sammenbygget sidehus (1850-51 af C.O. Aagaard), samt den in gården beliggende femfags fabriksbygning (1850 af Bernhard Hertz som sølvvarefabrik). Fredet 1989.*
København;Store Kongensgade 56, hj;af Dronningens Tværgade;1974;1754;Store Kongensgade 56 og Dronningens Tværgade 11. Hjørnebygningen (før 1754 og 1808, ombygget 1846) med sidehus. Fredet 1974.*
København;Store Kongensgade 59;Store Kongensgade 59;1918;1782;Forhuset (1782 og later). Fredet 1918.*
København;Store Kongensgade 62;Store Kongensgade 62;1985;1807;Forhuset med sidehus (1807) og baghus (1808, forhøjet 1835). Fredet 1985.*
København;Store Kongensgade 67 A-C;Mekanicus Kretz' Gård;1973;1836;Forhus med de dertil stødende sidehuse (1836-38), det nordlige sidehus' forlængelse, tværhuset (ca. 1750) samt sidehuset in baggård (mellem 1807 og 1835). Fredet 1973.*
København;Store Kongensgade 68;Danneskjold-Laurvigs Palæ, Jernmagasinet;1964;1745;Forhuset (ca. 1745, formentlig af J.A. Soherr, senere forhøjet med en etage). Fredet 1964.*
København;Store Kongensgade 72;Den Barnekowske Ejendom, De Conincks Gård;1918;1797;Forhuset med de dertil stødende sidehuse samt den med søndre sidehus sammenbyggede mellembygning (1797, muligvis af Joseph-Jacques Ramée). Fredet 1918.*
København;Store Kongensgade 77;Store Kongensgade 77;1964;1832;Forhus og sidehus (1832). Fredet 1964.
København;Store Kongensgade 78;Store Kongensgade 78;1979;1732;Forhus (før 1732, helt ombygget 1769) med sidehus og baghus. Fredet 1979.
København;Store Kongensgade 79 A;Store Kongensgade 79 A;1926;1832;Forhuset inkl. smigfaget mod sidehuset (1832-33). Fredet 1926. *
København;Store Kongensgade 80;Store Kongensgade 80;1979;1748;Forhuset (1748, forhøjet og delvis grundmuret mellem 1748 og 1783). Fredet 1979.*
København;Store Kongensgade 81 A-D;Store Kongensgade 81 A-D;1918;1784;Forhuset, sidehuset, mellemhuset samt de two hermed sammenbyggede sidehuse in baggården og de two baghuse (forhuset 1784-85 af murermester M.H. Petermann, sidehus og mellemhus 1750'erne). Fredet 1918. Udvidet 1987.*
København;Store Kongensgade 82;Store Kongensgade 82;1979;1734;Forhus (før 1734, helt ombygget 1795, facadeudsmykningen fra 1840'erne) med sidehus og baghus. Fredet 1979.*
København;Store Strandstræde 18 A;Waagepetersens Gård;1918;1792;Forhuset (1792-93 af Johan Martin Quist). Fredet 1918. *
København;Store Strandstræde 19-21;Store Strandstræde 19-21;1999;1907;De two forhuse, de fire sidehuse med kældre under de two gårdspladser samt værkstedsbygningen (1907-08 af Aage Langeland-Mathiesen). Fredet 1999.*
København;Store Strandstræde 20;Store Strandstræde 20;1950;1788;Hjørnehuset (1788-89). Fredet 1950. *
København;Store Strandstræde 4;Store Strandstræde 4;1987;1853;Forhus med sidehus (trappehus) (1853). Fredet 1987.*
København;Store Strandstræde 6;Store Strandstræde 6;1987;1731;Forhus og sidehus (før 1731, forhøjet og grundmuret facade 1783, grundmuret bagside samt gadefacadens nuværende udformning fra midten af 1800-tallet). Fredet 1987.
København;Store Strandstræde 7;Store Strandstræde 7;1989;1781;Alle ejendommens bygninger: forhus på tre grundmurede fag (1781, nuværende facade 1848 og 1892), sidehus på fem fag in grundmur (1781) og det med trappen sammenbyggede baghus in two grundmurede fag (1801). Fredet 1989.*
København;Stormgade 10-12;Holsteins Palæ;1918;1687;"Forhuset nr. 10 med sidelænger samt bindingsværksbaghus (forhuset fra 1687 muligvis af Lambert van Haven, udvidet med brede endefag mellem 1711 og 1740, forhøjet og ombygget 1756 af Jacob Fortling; sidefløjenes nordender fra 1706 muligvis af Johan Conrad Ernst, sammenbygget med hovedbygningen inden 1760; bindingsværksbaghus fra sidste halvdel af 1600-tallet). Fredet 1918.* Forhuset nr. 12 (ca. 1680, stærkt ombygget og forhøjet to gaden 1798, to gården 1830; facadeændring ca. 1850). Fredet 1945."
København;Stormgade 14 E;Det Harboeske Enkefruekloster;1918;1741;"Forhuset (ældre mindre bygning ombygget 1741 af Elias David Häusser udvidet og omformet to de store pavilloner med toetages forbindelsesbygning 1754-60 efter Lauritz de Thurahs tegning; forbindelsesbygningen forhøjet 1772 af C.F. Harsdorff). Fredet 1918.*"
København;Stormgade 18;Overformynderiet (tidl.);1981;1893;Det trefløjede bygningskompleks med foranliggende hegnsmur (1893-94 af Hans J. Holm). Fredet 1981.
København;Stormgade 6;Stormgade 6;1918;1850;Forhuset (1850-51, portalen 1755). Fredet 1918.
København;Stormgade 8;Stormgade 8;1918;1737;Forhuset (two huse fra før 1737, sammenbygget 1748 og forhøjet med en etage 1845) og sidehuset (før 1737, sammenbygget med forhuset formentlig 1748). Fredet 1918. Udvidet 1951.*
København;Strandagervej 28;J.F;1982;1906;Willumsens Villa. Villaen og havelågen (1906-07 af J.F. Willumsen). Fredet 1982.*
København;Strandboulevarden 35;Strandboulevarden 35;2001;1902;Etagebeboelseshuset med sidehus (1902 af Eugen Jørgensen). Fredet 2001.*
København;Strandgade 1-2;To huse ved Christianskirkens indgang;1950;;De to små huse ved Christianskirkens indgang. Fredet 1950.*
København;Strandgade 10;I.B;1918;1668;Schottmanns Gård. Forhuset (1668 (se nr. 8), ombygget 1775 af Johan Bernhardt Schottmann) med grundmuret sidehus, bindingsværkssidehus og baghus samt gårdrummet. Fredet 1918. Udvidet 2007.*
København;Strandgade 104-106 (tidl;Strandgade 100) og Krøyers Plads;1964;1766;"Grønlandske Handels Plads. Det store pakhus på 23 fag (1766-67 af Johan Christian Conradi), """"Skindpakhuset"""" (1805-06)* samt """"Det brede Pakhus"""", også kaldet """"Det store Bakkehus"""" (1781)*. Fredet 1964. Udvidet 2002."
København;Strandgade 12;Strandgade 12;1918;1762;Forhuset med tilstødende syv fag lange sidehus (1762-94, sidehus opført 1731-47). Fredet 1918.*
København;Strandgade 14, hj;af Torvegade;1918;1640;"Den Rohdeske Gård. Hjørnebygningen (ca. 1640; svungne gavle erstattet af to etager og frontoner 1785 og 1792) og baghuset. Fredet 1918.*"
København;Strandgade 22;Cort Adelers Gård;1918;1630;"Forhus med sidelænge (ca. 1630, ombygget 1670, forhøjet 1769; sidelænge 1769) samt hegnsmuren*. Fredet 1918."
København;Strandgade 24;Strandgade 24;1918;1670;Forhus med sidehus og dertil stødende tværhus samt hegnsmuren (ca. 1670, forhøjet med en etage 1748). Fredet 1918.*
København;Strandgade 25;Det Asiatiske Kompagni;1918;1781;De to ensdannede forhuse (det sydvestre 1738 af Philip de Lange, det nordøstre 1781) med den verbindende mur og det med det nordøstre forhus sammenbyggede pakhus (1781) samt det 21 fag lange pakhus (1748-50 af Niels Eigtved). Fredet 1918.
København;Strandgade 26;Behagens Gård;1918;1626;Alle på grunden stående bygninger samt mur mod mnr. 413 og de to murede piller i sydøstre del af gården (to gavlhuse fra 1626 sammenbygget og forhøjet 1769). Fredet 1918.*
København;Strandgade 28-30 og Wildersgade 41-43;Sigvert Grubbes Gård;1918;1622;"Gavlhuset nr. 28, ""Sigvert Grubbes gård"" (1622), den bag dette liggende otte fags bindingsværksbygning, det med dettes østhjørne sammenbyggede sidehus og det hermed sammenbyggede forhus nr. 41 mod Wildersgade; forhuset nr. 30 mod Strandgade (ca. 1635, porten fra 1710) og de med dette sammenbyggede to lige lange sidehuse (det nordøstre 1636, det sydvestre 1709-13) samt hegnsmurene; endvidere forhuset nr. 43 mod Wildersgade med den korte sidefløj (1829) og det hermed sammenbyggede treetages pakhus (ca. 1800). Fredet 1918.*"
København;Strandgade 32, hj;af Sankt Annæ Gade;1918;1624;Mikkel Vibes Gård. Forhus mod Strandgade (formentlig 1624, ny etageinddeling mellem 1816 og 1839) og Sankt Annæ Gade (ca. 1622-24) samt det sydligst på grunden beliggende baghus. Fredet 1918.*
København;Strandgade 34, hj;af Sankt Annæ Gade;1918;1733;Topps Gård, Brydes Gård. Forhus med pakhus (1733, pakhuset 1777-78). Fredet 1918.*
København;Strandgade 36 og Wildersgade 51;Niels Brocks Gård;1918;1780;Forhus med de mod nr. 38 beliggende sidehuse (1780 og senere) og pakhus mod Wildersgade. Fredet 1918.*
København;Strandgade 38;Strandgade 38;1918;1688;Forhus og dermed sammenbyggede sidehus (1688, stærkt ombygget). Fredet 1918.*
København;Strandgade 4 og 4 B;Strandgade 4 og 4 B;1918;1819;Beboelseshus (ca. 1789) og pakhus (1819). Fredet 1918.*
København;Strandgade 40;Strandgade 40;1945;1600;Forhuset (1600-tallet og 1780). Fredet 1945.*
København;Strandgade 42;Strandgade 42;1945;1600;Forhus med sidehus (1600-tallet og 1780-1800). Fredet 1945.*
København;Strandgade 44 A, B, og H, hj;af Bådsmandsstræde;1945;1630;Irgens Gård, Den gamle Artillerikaserne. De to forhuse med port mod Strandgade, forhusbebyggelsen mod Bådsmandsstræde, forhus mod Wildersgade med sidehus, pakhus og fritliggende hus i gården (ca. 1630, ca. 1664, ombygget 1775 og senere). Fredet 1945.*
København;Strandgade 46 og 46 A og Bådsmandsstræde 3;Andreas Bjørns Gård;1918;1733;"Forhusene mod Strandgade (1733-34; portpartiet ca. 1760) og Bådsmandsstræde (1761, forhøjet med en etage 1830). Fredet 1918.*"
København;Strandgade 52-54;Strandgade 52-54;1945;1741;Den toetages bygning (ca. 1741 af Andreas Bjørn, mindre ændringer siden). Fredet 1945.*
København;Strandgade 6;Lehns Gård, Tordenskjolds Gård;1918;1703;"Forhus med tilstødende sidelænge til og med den i gården fremspringende pavillon (1703, ombygget ca. 1850; pavillon 1743). Fredet 1918.*"
København;Strandgade 71075;Pakhuset, Strandgade 71-75;1964;1762;Det store pakhus på 16 fag (1762-63 af Johan Christian Conradi, senere ombygninger). Fredet 1964.*
København;Strandgade 8;Strandgade 8;1932;1668;Forhuset med smigfag til gården (1668, forhøjet 1816-39), det syv fag lange sidehus (1816-39) samt det i forlængelse heraf byggede sidehus i tre fag (1853, ombygget 1933). Fredet 1932. Udvidet 1991.*
København;Studiestræde 10;Studiestræde 10;1964;1800;Forhuset (1800-01 af Christopher Chrane). Fredet 1964.
København;Studiestræde 12;Studiestræde 12;1964;1798;Forhuset (1798-99 af Jens Dahl). Fredet 1964.*
København;Studiestræde 13 og 13 A;Studiestræde 13-13 A;1959;1798;Forhusene (1798 af Niels Zimmer). Fredet 1959.*
København;Studiestræde 14;Studiestræde 14;1964;1801;Forhuset (1801-02 af J.J. Schlage). Fredet 1964.*
København;Studiestræde 17 og 17 B;Studiestræde 17 og 17 B;1989;1822;Det trefags forhus med sidehus samt det trefags baghus med 10 m. dyb kælder (alle grundmur og opført 1822). Fredet 1989.*
København;Studiestræde 21;Studiestræde 21;1951;1797;Forhuset (1797 af Christian Martens, forhøvet med en etage 1890). Fredet 1951.*
København;Studiestræde 24;Studiestræde 24;1959;1796;Forhuset (1796-98). Fredet 1959.*
København;Studiestræde 25 A, hj;af Larsbjørnsstræde;1964;1796;Studiestræde 25 A. Hjørnebygningen med otte fag mod Studiestræde (1796, forhøjet med en etage 1851). Fredet 1964.*
København;Studiestræde 35;Studiestræde 35;1959;1796;Forhuset (1796). Fredet 1959.*
København;Studiestræde 5, 7 og 9;Studiestræde 5-9;1951;1796;"Forhusene (nr. 5: 1796; nr. 7: 1807-08 af Jacob Lynge; nr. 9: 1798-99 af Michael Bälckow). Fredet 1951.*"
København;Studiestræde 8;Noahs Ark;1996;1798;Forhuset samt halvtagsbygningen og den brolagte baggård (1798 af Christian Martens). Fredet 1996.
København;Sundbyvestervej 29-31;Sundbyvestervej 29-31;2003;1936;Villaen med tilhørende garage og havemur samt flisebelægningen (1936 af Arne Jacobsen). Fredet 2003.*
København;Sundevedsgade 4;Sundevedsgade 4;1987;1858;Forhuset (1858). Fredet 1987.
København;Sværtegade 1;Sværtegade 1;1986;1728;Hjørnehuset (1728 af Gotfrid Schuster med dele af Christian IV's gjethus 1610, forhøjet 1812 og 1850). Fredet 1986.*
København;Sværtegade 3 og Pilestræde 40;Sværtegade 3 og Pilestræde 40;1950;1826;Forhus (ca. 1730 af Gotfrid Schuster, forhøjet med to etager 1791, kunstdrejer Schwartz' butik indrettet 1847 af H.C. Stilling) med side- og baghusbygningen (1826). Fredet 1950. Udvidet 1985.*
København;Sværtegade 5;Sværtegade 5;1959;1736;Forhuset (1736, forhøjet og ombygget 1800, facaden fra 1855, forhøjet med en etage i 1900-tallet) samt det hermed sammenbyggede side- og baghus. Fredet 1959. Udvidet 1983.*
København;Sværtegade 7;Det Norske Selskab;1950;1738;Forhus og dermed sammenbygget syvfags bindingsværkslænge (1738). Fredet 1950.*
København;Sværtegade 9;Sværtegade 9;1985;1756;Forhuset (1756, forhøjet 1847, facaden 1847). Fredet 1985.*
København;Syddyssen 9;Den kosmiske Blomst, Christiania;2007;;Krudtmagasinet i 5. Redan, kaldet Den kosmiske Blomst. Fredet 2007.
København;Sydområdet 4 A, Christiania;Loppen, Christiania;2008;1863;Artillerimagasinet langs Prinsessegade, kaldet Loppebygningen (1863 af arkitekt Johan Henrik Nebelong). Fredet 2008.*
København;Sølvgade 16;Sølvgades Skole;1982;1846;Sølvgades Skole, bestående af hovedbygningen (1846-47 af P.C. Hagemann), gitteret (1864) mod Sølvgade samt skolegårdens akacietræ og flagstang. Fredet 1982, udvidet 2006
København;Sølvgade 20;Sølvgade 20;1977;1826;Forhuset og de dermed sammenbyggede to sidehuse (1826-27 af Thomas Blom). Fredet 1977.*
København;Sølvgade 22;Sølvgade 22;1977;1830;Forhuset og de dermed sammenbyggede to sidehuse (1830-31 af Thomas Blom). Fredet 1977.*
København;Sølvgade 30;Sølvgade 30;1993;1853;Forhuset og de dermed sammenbyggede to sidehuse (1853) samt baghuset med de dermed sammenbyggede to lagerbygninger og den heroverfor liggende tidl. hestestald. Fredet 1993.*
København;Sølvgade 34;Fredning Sølvgade 34;1964;1834;Forhus og sidehus (1834). Fredet 1964.*
København;Sølvgade 38 og 38 A;Jacob Holmblads Gård;1918;1776;Forhus med sidefløj (1776) og dermed sammenbygget treetages lagerbygning (1776). Fredet 1918.*
København;Søtorvet 1-3, hj;af Vendersgade og Frederiksborggade;1978;1873;Søtorvet 1-3. Forhuset med sidebygninger, dog ikke den toetages bagbygning mellem sidehusene (1873-76 af Vilhelm Petersen og Ferdinand Vilhelm Jensen). Fredet 1978.*
København;Søtorvet 2, hjørnerne af Gothersgade og Frederiksborggade;Søtorvet 2;1979;1873;Forhus med sidebygninger (1873-76 af Vilhelm Petersen og Ferdinand Vilhelm Jensen). Fredet 1979.*
København;Søtorvet 5, hj;af Vendersgade;1978;1873;Søtorvet 5. Forhuset og det toetages fritliggende baghus (1873-76 af Vilhelm Petersen og Ferdinand Vilhelm Jensen). Fredet 1978.*
